SourcePath,SourceName,Extension,RelativePath,Target,SizeBytes,ModifiedAt,IndexedAt
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\1_Anfragetemplate\TST\1_old\2021 05 06_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,2021 05 06_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,.xlsx,06_Allgemeine Informationen/1 Angebote/1_Anfragetemplate/TST/1_old/2021 05 06_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,06_Allgemeine Informationen,24615,2021-05-10T12:21:46.266222+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\1_Anfragetemplate\TST\1_old\2021 05 10_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,2021 05 10_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,.xlsx,06_Allgemeine Informationen/1 Angebote/1_Anfragetemplate/TST/1_old/2021 05 10_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,06_Allgemeine Informationen,24615,2021-05-10T12:21:46.266222+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\1_Anfragetemplate\TST\2021 05 11_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,2021 05 11_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,.xlsx,06_Allgemeine Informationen/1 Angebote/1_Anfragetemplate/TST/2021 05 11_GeniusCM_Handshake_Anfrage zu SAP Angebot_template.xlsx,06_Allgemeine Informationen,24671,2021-05-11T07:45:06.143979+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\130419_ Service_Contract X_years_Template.pdf,130419_ Service_Contract X_years_Template.pdf,.pdf,06_Allgemeine Informationen/1 Angebote/EA_Templates/130419_ Service_Contract X_years_Template.pdf,06_Allgemeine Informationen,174167,2013-04-19T11:55:20.211346+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\20121212_Abnahmeprottokoll_70000339.docx,20121212_Abnahmeprottokoll_70000339.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/20121212_Abnahmeprottokoll_70000339.docx,06_Allgemeine Informationen,34245,2012-12-12T09:29:38.750863+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Abnahmeprotokoll_Inland.docx,Abnahmeprotokoll_Inland.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/Abnahmeprotokoll_Inland.docx,06_Allgemeine Informationen,36147,2013-04-25T06:44:19.678195+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Abnahmeprotokoll_Inland.pdf,Abnahmeprotokoll_Inland.pdf,.pdf,06_Allgemeine Informationen/1 Angebote/EA_Templates/Abnahmeprotokoll_Inland.pdf,06_Allgemeine Informationen,17387,2013-04-25T06:44:18.094555+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Entry Certificate.docx,Entry Certificate.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/Entry Certificate.docx,06_Allgemeine Informationen,17668,2012-02-14T14:35:36.458302+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Ergänzende Softwarebedingungen für das Anlagen.docx,Ergänzende Softwarebedingungen für das Anlagen.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/Ergänzende Softwarebedingungen für das Anlagen.docx,06_Allgemeine Informationen,67338,2013-06-19T12:37:50.760453+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Gelangensbestätigung.docx,Gelangensbestätigung.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/Gelangensbestätigung.docx,06_Allgemeine Informationen,17612,2012-02-14T14:35:36.637303+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\EA_Templates\Langzeit Servicevertrag  V01 2012 0918.docx,Langzeit Servicevertrag  V01 2012 0918.docx,.docx,06_Allgemeine Informationen/1 Angebote/EA_Templates/Langzeit Servicevertrag  V01 2012 0918.docx,06_Allgemeine Informationen,1476645,2013-01-11T07:28:50.261570+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\Gear Box inspection\Inspektionsstufen_Kurzuebersicht_e.pdf,Inspektionsstufen_Kurzuebersicht_e.pdf,.pdf,06_Allgemeine Informationen/1 Angebote/Gear Box inspection/Inspektionsstufen_Kurzuebersicht_e.pdf,06_Allgemeine Informationen,89257,2009-08-14T05:49:47.550000+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\IMMS Package\Alte Versionen\IMMS Basis Paket über GB alt\Spezifikation\03.02 Scope of supply list.xls,03.02 Scope of supply list.xls,.xls,06_Allgemeine Informationen/1 Angebote/IMMS Package/Alte Versionen/IMMS Basis Paket über GB alt/Spezifikation/03.02 Scope of supply list.xls,06_Allgemeine Informationen,61952,2009-03-24T11:06:05.943000+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\IMMS Package\Alte Versionen\IMMS Basis Paket über GB alt\Vorlagen\Kalkulationsvorgaben rev 1.xls,Kalkulationsvorgaben rev 1.xls,.xls,06_Allgemeine Informationen/1 Angebote/IMMS Package/Alte Versionen/IMMS Basis Paket über GB alt/Vorlagen/Kalkulationsvorgaben rev 1.xls,06_Allgemeine Informationen,56320,2006-12-27T12:07:52.631993+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\06_Allgemeine Informationen\1 Angebote\IMMS Package\Alte Versionen\IMMS Basis Paket über GB alt\Vorlagen\Kalkulationsvorgaben.xls,Kalkulationsvorgaben.xls,.xls,06_Allgemeine Informationen/1 Angebote/IMMS Package/Alte Versionen/IMMS Basis Paket über GB alt/Vorlagen/Kalkulationsvorgaben.xls,06_Allgemeine Informationen,56832,2006-12-21T14:22:25.526368+00:00,2026-03-12T11:16:06.006618+00:00
