PBS: CoE,PBS-Element,Installed Base ID,Installed Base,PBS: Execution Type (Product),Technical Location,country,Date Start-up,Status of Plant/Equipment,Date of Verification,Type of Verification,Employee Responsible,name,PBS: Plant type,Location Description (Installed Base),Nominat Capacity [t/y],industry,region,rating,status,fte,revenue,latitude,longitude,company_ceo,fte_count
Flat Products,Annealing and Coating Line (FR),11977.0,Annealing and Coating Line,Annealing and Coating Line,"#",Slovakia,2004-01-01 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,"U.S. Steel Kosice, s.r.o.",Annealing and Coating Line (FR),"U.S. Steel Kosice, s.r.o.",100000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20101.0,00,Aluminium Cold Rolling Mill,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Aluminum Cold Rolling Mill (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20102.0,00,Aluminium Cold Rolling Mill,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Aluminum Cold Rolling Mill (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20195.0,2600 mm Cold Rolling Mill,Aluminium Cold Rolling Mill,S-AT-RANSH,Austria,2016-06-28 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Ralf Ohrndorf,AMAG rolling GmbH,Aluminum Cold Rolling Mill (FR),AMAG rolling GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21494.0,ACM 2-Stand 4 HI,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Constellium Singen GmbH,Aluminum Cold Rolling Mill (FR),Constellium Singen GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21498.0,ACM 4 Hi Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,on site,Johannes Schuchardt,Novelis Deutschland GmbH,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21491.0,ACM 4 Hi Rev sheet,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Koblenz GmbH,Aluminum Cold Rolling Mill (FR),Novelis Koblenz GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21496.0,ACM 4 Ni Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Deutschland GmbH - Ohle,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21497.0,ACM 6 Hi Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Deutschland GmbH,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21492.0,ACM 6 Ni Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Koblenz GmbH,Aluminum Cold Rolling Mill (FR),Novelis Koblenz GmbH,0.0,,Europe,,,,,,,,
