rank,company,equipment_type,country,equipment_age,priority_score
1,Voestalpine AG,Hot Dip Metal Coating Line,Austria,23,99.6
2,Voestalpine AG,Continuous Annealing Line,Austria,29,99.4
3,Voestalpine AG,Tandem Mill,Austria,30,99.3
4,Voestalpine AG,Continuous Annealing Line,Austria,12,99.3
5,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,76,99.3
6,Breitenfeld Edelstahl,Vacuum Degassing Plant,Austria,25,99.1
7,Voestalpine AG,Continuous Annealing Line,Austria,14,99.1
8,Voestalpine AG,Vacuum Degassing Plant,Austria,26,98.9
9,Voestalpine AG,Hot Dip Metal Coating Line,Austria,19,98.9
10,Voestalpine AG,Hot Dip Metal Coating Line,Austria,16,98.9
11,Voestalpine AG,Continuous Annealing Line,Austria,13,98.9
12,Voestalpine AG,Continuous Slab Caster,Austria,22,98.9
13,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Luxembourg,76,98.8
14,SSAB,Temper-  Skin Pass Mill (CR),Sweden,62,98.7
15,Voestalpine AG,Tandem Mill,Austria,18,98.7
16,Outokumpu Oyj,Temper-  Skin Pass Mill (CR),Finland,29,98.5
17,Voestalpine AG,Batch Annealing Plant,Austria,21,98.4
18,Voestalpine AG,Pickling Line,Sweden,48,98.4
19,Voestalpine AG,Vacuum Degassing Plant,Austria,12,98.4
20,Wuppermann AG,Hot Dip Metal Coating Line,Austria,36,98.3
21,Aperam,Tandem Mill,France,28,98.3
22,Tata Steel,Continuous Annealing Line,Netherlands,54,98.2
23,Tata Steel,Tandem Mill,Netherlands,64,98.2
24,Aperam,Temper-  Skin Pass Mill (CR),France,28,98.2
25,Breitenfeld Edelstahl,Vacuum Degassing Plant,Austria,17,98.1
26,Outokumpu Oyj,Tandem Mill,Finland,23,98.1
27,Voestalpine AG,Electrolytic Metal Coating Lin,Austria,40,98.1
28,Voestalpine AG,Organic Coating Line,Austria,22,98.0
29,Tata Steel,Tandem Mill,Netherlands,73,98.0
30,Voestalpine AG,Continuous Slab Caster,Austria,8,97.9
31,Voestalpine AG,Temper-  Skin Pass Mill (CR),Austria,53,97.9
32,Voestalpine AG,Reversing Cold Rolling Mill,Austria,15,97.8
33,Outokumpu Oyj,Temper-  Skin Pass Mill (CR),Finland,23,97.8
34,ArcelorMittal SA,Continuous Annealing Line,Spain,34,97.8
35,Tata Steel,Pickling Line,Netherlands,64,97.8
36,Tata Steel,Batch Annealing Plant,Netherlands,55,97.8
37,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,49,97.8
38,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,23,97.8
39,Voestalpine AG,Organic Coating Line,Austria,36,97.8
40,Wuppermann AG,Hot Dip Metal Coating Line,Austria,30,97.8
41,Voestalpine AG,Tandem Mill,Austria,55,97.7
42,Voestalpine AG,Direct or Smelting Reduction P,Austria,5,97.7
43,Outokumpu Oyj,Reversing Cold Rolling Mill,Finland,29,97.7
44,Voestalpine AG,Hot Dip Metal Coating Line,Austria,53,97.7
45,SSAB,Tandem Mill,Finland,54,97.7
46,Voestalpine AG,Pickling Line,Austria,30,97.6
47,Voestalpine AG,Hot Dip Metal Coating Line,Austria,35,97.5
